Pavarde           Vardas                Galutinis (Vid.)    Galutinis (Med.)
Pavarde64162      Vardas64162                       8.12                7.60
Pavarde64163      Vardas64163                       7.88                8.00
Pavarde64164      Vardas64164                       8.28                8.00
Pavarde64165      Vardas64165                       2.94                3.40
Pavarde64166      Vardas64166                       7.28                7.40
Pavarde64167      Vardas64167                       7.24                7.60
Pavarde64168      Vardas64168                       8.52                8.60
Pavarde64169      Vardas64169                       5.90                5.80
Pavarde6417       Vardas6417                        6.60                6.40
Pavarde64170      Vardas64170                       6.24                5.80
Pavarde64171      Vardas64171                       3.48                3.80
Pavarde64172      Vardas64172                       7.82                7.60
Pavarde64173      Vardas64173                       3.48                3.60
Pavarde64174      Vardas64174                       7.42                7.60
Pavarde64175      Vardas64175                       8.04                7.60
Pavarde64176      Vardas64176                       6.42                6.60
Pavarde64177      Vardas64177                       8.30                8.20
Pavarde64178      Vardas64178                       8.30                8.20
Pavarde64179      Vardas64179                       4.94                5.00
Pavarde6418       Vardas6418                        8.28                8.00
Pavarde64180      Vardas64180                       4.14                4.20
Pavarde64181      Vardas64181                       6.70                6.60
Pavarde64182      Vardas64182                       8.06                7.80
Pavarde64183      Vardas64183                       7.36                7.20
Pavarde64184      Vardas64184                       8.22                8.00
Pavarde64185      Vardas64185                       3.78                3.60
Pavarde64186      Vardas64186                       8.08                8.20
Pavarde64187      Vardas64187                       6.32                6.20
Pavarde64188      Vardas64188                       6.46                6.00
Pavarde64189      Vardas64189                       5.02                4.80
Pavarde6419       Vardas6419                        4.74                4.80
Pavarde64190      Vardas64190                       3.84                3.80
Pavarde64191      Vardas64191                       3.78                3.80
Pavarde64192      Vardas64192                       5.66                5.40
Pavarde64193      Vardas64193                       5.98                6.40
Pavarde64194      Vardas64194                       7.60                7.80
Pavarde64195      Vardas64195                       4.66                4.60
Pavarde64196      Vardas64196                       5.22                5.20
Pavarde64197      Vardas64197                       7.72                7.80
Pavarde64198      Vardas64198                       5.38                5.40
Pavarde64199      Vardas64199                       8.06                8.40
Pavarde642        Vardas642                         7.80                7.60
Pavarde6420       Vardas6420                        4.60                5.00
Pavarde64200      Vardas64200                       4.54                4.80
Pavarde64201      Vardas64201                       4.74                4.60
Pavarde64202      Vardas64202                       6.62                6.80
Pavarde64203      Vardas64203                       6.36                6.60
Pavarde64204      Vardas64204                       3.70                3.60
Pavarde64205      Vardas64205                       7.36                7.60
Pavarde64206      Vardas64206                       7.60                7.40
Pavarde64207      Vardas64207                       5.44                5.40
Pavarde64208      Vardas64208                       7.92                7.60
Pavarde64209      Vardas64209                       8.70                9.20
Pavarde6421       Vardas6421                        3.96                4.40
Pavarde64210      Vardas64210                       4.32                4.00
Pavarde64211      Vardas64211                       6.60                6.60
Pavarde64212      Vardas64212                       7.72                8.20
Pavarde64213      Vardas64213                       2.64                2.60
Pavarde64214      Vardas64214                       8.24                8.40
Pavarde64215      Vardas64215                       2.86                2.60
Pavarde64216      Vardas64216                       3.40                3.60
Pavarde64217      Vardas64217                       4.20                4.20
Pavarde64218      Vardas64218                       5.04                5.20
Pavarde64219      Vardas64219                       3.74                4.00
Pavarde6422       Vardas6422                        7.66                8.00
Pavarde64220      Vardas64220                       4.74                4.60
Pavarde64221      Vardas64221                       6.96                7.20
Pavarde64222      Vardas64222                       6.20                6.60
Pavarde64223      Vardas64223                       4.42                4.00
Pavarde64224      Vardas64224                       5.02                5.00
Pavarde64225      Vardas64225                       5.06                5.00
Pavarde64226      Vardas64226                       3.58                3.80
Pavarde64227      Vardas64227                       3.18                3.20
Pavarde64228      Vardas64228                       5.44                5.60
Pavarde64229      Vardas64229                       3.54                3.60
Pavarde6423       Vardas6423                        5.04                5.00
Pavarde64230      Vardas64230                       5.16                5.20
Pavarde64231      Vardas64231                       4.10                4.00
Pavarde64232      Vardas64232                       6.56                6.60
Pavarde64233      Vardas64233                       6.00                6.20
Pavarde64234      Vardas64234                       7.92                7.80
Pavarde64235      Vardas64235                       6.34                6.60
Pavarde64236      Vardas64236                       4.70                4.80
Pavarde64237      Vardas64237                       7.86                8.20
Pavarde64238      Vardas64238                       7.56                7.40
Pavarde64239      Vardas64239                       8.32                8.20
Pavarde6424       Vardas6424                        4.66                4.60
Pavarde64240      Vardas64240                       7.42                7.20
Pavarde64241      Vardas64241                       5.60                5.60
Pavarde64242      Vardas64242                       2.92                2.80
Pavarde64243      Vardas64243                       6.50                6.60
Pavarde64244      Vardas64244                       5.46                5.80
Pavarde64245      Vardas64245                       8.12                8.00
Pavarde64246      Vardas64246                       7.70                7.80
Pavarde64247      Vardas64247                       7.34                6.80
Pavarde64248      Vardas64248                       7.80                7.80
Pavarde64249      Vardas64249                       2.36                2.40
Pavarde6425       Vardas6425                        8.16                8.00
Pavarde64250      Vardas64250                       4.60                4.40
Pavarde64251      Vardas64251                       5.26                5.20
Pavarde64252      Vardas64252                       6.46                6.60
Pavarde64253      Vardas64253                       5.72                6.00
Pavarde64254      Vardas64254                       5.62                5.60
Pavarde64255      Vardas64255                       3.24                3.40
Pavarde64256      Vardas64256                       5.14                5.20
Pavarde64257      Vardas64257                       5.38                5.40
Pavarde64258      Vardas64258                       4.88                4.40
Pavarde64259      Vardas64259                       8.20                8.00
Pavarde6426       Vardas6426                        7.62                7.40
Pavarde64260      Vardas64260                       5.34                6.00
Pavarde64261      Vardas64261                       4.20                4.60
Pavarde64262      Vardas64262                       5.06                4.60
Pavarde64263      Vardas64263                       3.94                3.60
Pavarde64264      Vardas64264                       2.46                2.20
Pavarde64265      Vardas64265                       7.04                7.20
Pavarde64266      Vardas64266                       4.14                4.00
Pavarde64267      Vardas64267                       4.62                4.60
Pavarde64268      Vardas64268                       8.16                8.00
Pavarde64269      Vardas64269                       7.36                7.20
Pavarde6427       Vardas6427                        6.22                6.40
Pavarde64270      Vardas64270                       6.30                6.40
Pavarde64271      Vardas64271                       6.26                6.00
Pavarde64272      Vardas64272                       3.26                3.20
Pavarde64273      Vardas64273                       2.68                2.60
Pavarde64274      Vardas64274                       4.88                5.20
Pavarde64275      Vardas64275                       5.22                4.80
Pavarde64276      Vardas64276                       5.94                5.60
Pavarde64277      Vardas64277                       4.72                4.80
Pavarde64278      Vardas64278                       3.76                4.00
Pavarde64279      Vardas64279                       5.74                5.40
Pavarde6428       Vardas6428                        3.04                3.20
Pavarde64280      Vardas64280                       5.78                5.80
Pavarde64281      Vardas64281                       5.78                5.60
Pavarde64282      Vardas64282                       7.84                8.20
Pavarde64283      Vardas64283                       7.56                7.80
Pavarde64284      Vardas64284                       4.20                4.40
Pavarde64285      Vardas64285                       5.86                5.80
Pavarde64286      Vardas64286                       5.02                4.60
Pavarde64287      Vardas64287                       3.08                3.40
Pavarde64288      Vardas64288                       4.78                4.80
Pavarde64289      Vardas64289                       8.70                8.80
Pavarde6429       Vardas6429                        6.20                6.40
Pavarde64290      Vardas64290                       5.16                5.00
Pavarde64291      Vardas64291                       5.02                5.00
Pavarde64292      Vardas64292                       7.44                7.40
Pavarde64293      Vardas64293                       5.74                6.00
Pavarde64294      Vardas64294                       6.50                6.60
Pavarde64295      Vardas64295                       5.42                5.00
Pavarde64296      Vardas64296                       3.82                3.60
Pavarde64297      Vardas64297                       7.44                7.00
Pavarde64298      Vardas64298                       6.80                6.80
Pavarde64299      Vardas64299                       5.98                5.60
Pavarde643        Vardas643                         4.84                5.00
Pavarde6430       Vardas6430                        3.88                3.60
Pavarde64300      Vardas64300                       3.22                3.20
Pavarde64301      Vardas64301                       7.54                7.80
Pavarde64302      Vardas64302                       7.68                7.80
Pavarde64303      Vardas64303                       6.90                6.80
Pavarde64304      Vardas64304                       5.94                6.20
Pavarde64305      Vardas64305                       2.88                3.20
Pavarde64306      Vardas64306                       5.82                6.00
Pavarde64307      Vardas64307                       5.18                5.20
Pavarde64308      Vardas64308                       4.90                4.60
Pavarde64309      Vardas64309                       5.18                5.40
Pavarde6431       Vardas6431                        4.30                4.60
Pavarde64310      Vardas64310                       7.62                7.60
Pavarde64311      Vardas64311                       3.20                2.80
Pavarde64312      Vardas64312                       4.96                5.20
Pavarde64313      Vardas64313                       8.60                9.20
Pavarde64314      Vardas64314                       6.48                6.40
Pavarde64315      Vardas64315                       3.46                3.20
Pavarde64316      Vardas64316                       2.92                3.00
Pavarde64317      Vardas64317                       5.94                6.00
Pavarde64318      Vardas64318                       3.52                3.40
Pavarde64319      Vardas64319                       3.06                3.00
Pavarde6432       Vardas6432                        8.34                8.40
Pavarde64320      Vardas64320                       4.70                4.80
Pavarde64321      Vardas64321                       7.56                7.20
Pavarde64322      Vardas64322                       4.72                4.40
Pavarde64323      Vardas64323                       4.84                5.00
Pavarde64324      Vardas64324                       5.44                5.20
Pavarde64325      Vardas64325                       7.98                8.20
Pavarde64326      Vardas64326                       4.58                4.80
Pavarde64327      Vardas64327                       6.54                6.40
Pavarde64328      Vardas64328                       7.86                7.80
Pavarde64329      Vardas64329                       5.28                4.80
Pavarde6433       Vardas6433                        8.42                8.60
Pavarde64330      Vardas64330                       3.46                3.60
Pavarde64331      Vardas64331                       3.30                3.00
Pavarde64332      Vardas64332                       5.84                5.60
Pavarde64333      Vardas64333                       4.36                4.00
Pavarde64334      Vardas64334                       6.92                7.00
Pavarde64335      Vardas64335                       2.96                2.80
Pavarde64336      Vardas64336                       3.36                3.20
Pavarde64337      Vardas64337                       7.10                7.40
Pavarde64338      Vardas64338                       5.02                5.00
Pavarde64339      Vardas64339                       5.18                5.60
Pavarde6434       Vardas6434                        5.78                5.80
Pavarde64340      Vardas64340                       2.70                2.80
Pavarde64341      Vardas64341                       6.88                7.00
Pavarde64342      Vardas64342                       4.08                4.60
Pavarde64343      Vardas64343                       2.74                2.40
Pavarde64344      Vardas64344                       3.96                3.60
Pavarde64345      Vardas64345                       5.94                6.20
Pavarde64346      Vardas64346                       7.98                8.00
Pavarde64347      Vardas64347                       4.58                4.60
Pavarde64348      Vardas64348                       7.16                7.20
Pavarde64349      Vardas64349                       8.06                8.00
Pavarde6435       Vardas6435                        7.14                7.40
Pavarde64350      Vardas64350                       3.42                3.60
Pavarde64351      Vardas64351                       2.56                2.80
Pavarde64352      Vardas64352                       6.18                6.40
Pavarde64353      Vardas64353                       8.84                9.20
Pavarde64354      Vardas64354                       6.56                7.00
Pavarde64355      Vardas64355                       5.66                5.60
Pavarde64356      Vardas64356                       3.74                4.00
Pavarde64357      Vardas64357                       5.28                5.20
Pavarde64358      Vardas64358                       3.98                4.00
Pavarde64359      Vardas64359                       2.74                2.60
Pavarde6436       Vardas6436                        2.80                3.00
Pavarde64360      Vardas64360                       7.14                7.80
Pavarde64361      Vardas64361                       5.20                5.00
Pavarde64362      Vardas64362                       3.08                3.00
Pavarde64363      Vardas64363                       5.90                5.80
Pavarde64364      Vardas64364                       8.00                8.20
Pavarde64365      Vardas64365                       2.62                2.20
Pavarde64366      Vardas64366                       7.10                7.20
Pavarde64367      Vardas64367                       2.54                2.40
Pavarde64368      Vardas64368                       7.22                7.40
Pavarde64369      Vardas64369                       8.26                8.40
Pavarde6437       Vardas6437                        3.84                3.40
Pavarde64370      Vardas64370                       2.70                2.60
Pavarde64371      Vardas64371                       6.64                7.00
Pavarde64372      Vardas64372                       6.14                6.00
Pavarde64373      Vardas64373                       5.14                5.00
Pavarde64374      Vardas64374                       4.44                4.60
Pavarde64375      Vardas64375                       3.96                4.00
Pavarde64376      Vardas64376                       4.54                4.40
Pavarde64377      Vardas64377                       3.70                3.40
Pavarde64378      Vardas64378                       5.26                5.40
Pavarde64379      Vardas64379                       4.38                4.60
Pavarde6438       Vardas6438                        4.04                4.00
Pavarde64380      Vardas64380                       7.04                7.20
Pavarde64381      Vardas64381                       6.82                6.80
Pavarde64382      Vardas64382                       7.40                7.20
Pavarde64383      Vardas64383                       7.90                7.80
Pavarde64384      Vardas64384                       8.46                8.60
Pavarde64385      Vardas64385                       2.36                2.20
Pavarde64386      Vardas64386                       6.78                6.40
Pavarde64387      Vardas64387                       5.50                5.60
Pavarde64388      Vardas64388                       6.58                7.00
Pavarde64389      Vardas64389                       3.78                3.80
Pavarde6439       Vardas6439                        2.90                3.00
Pavarde64390      Vardas64390                       6.60                6.60
Pavarde64391      Vardas64391                       2.98                3.00
Pavarde64392      Vardas64392                       7.58                7.80
Pavarde64393      Vardas64393                       6.84                6.80
Pavarde64394      Vardas64394                       8.52                8.80
Pavarde64395      Vardas64395                       5.50                5.40
Pavarde64396      Vardas64396                       4.86                5.40
Pavarde64397      Vardas64397                       3.02                3.40
Pavarde64398      Vardas64398                       6.50                6.20
Pavarde64399      Vardas64399                       4.86                5.20
Pavarde644        Vardas644                         7.54                7.40
Pavarde6440       Vardas6440                        7.72                8.00
Pavarde64400      Vardas64400                       8.62                9.00
Pavarde64401      Vardas64401                       6.88                6.60
Pavarde64402      Vardas64402                       6.20                6.60
Pavarde64403      Vardas64403                       8.10                8.20
Pavarde64404      Vardas64404                       3.32                3.60
Pavarde64405      Vardas64405                       5.64                5.60
Pavarde64406      Vardas64406                       2.58                2.00
Pavarde64407      Vardas64407                       3.08                3.00
Pavarde64408      Vardas64408                       7.46                7.80
Pavarde64409      Vardas64409                       5.40                5.80
Pavarde6441       Vardas6441                        7.66                7.60
Pavarde64410      Vardas64410                       5.14                5.20
Pavarde64411      Vardas64411                       4.76                5.00
Pavarde64412      Vardas64412                       2.66                2.00
Pavarde64413      Vardas64413                       2.52                2.80
Pavarde64414      Vardas64414                       7.24                7.40
Pavarde64415      Vardas64415                       4.76                4.80
Pavarde64416      Vardas64416                       3.06                3.00
Pavarde64417      Vardas64417                       7.16                7.20
Pavarde64418      Vardas64418                       7.34                7.20
Pavarde64419      Vardas64419                       7.40                7.20
Pavarde6442       Vardas6442                        5.32                5.60
Pavarde64420      Vardas64420                       7.42                7.40
Pavarde64421      Vardas64421                       4.82                5.00
Pavarde64422      Vardas64422                       8.28                8.80
Pavarde64423      Vardas64423                       6.38                6.60
Pavarde64424      Vardas64424                       8.08                8.20
Pavarde64425      Vardas64425                       5.28                5.00
Pavarde64426      Vardas64426                       3.18                2.80
Pavarde64427      Vardas64427                       2.80                2.60
Pavarde64428      Vardas64428                       5.50                5.60
Pavarde64429      Vardas64429                       5.36                5.00
Pavarde6443       Vardas6443                        5.32                5.60
Pavarde64430      Vardas64430                       6.28                6.40
Pavarde64431      Vardas64431                       8.18                8.20
Pavarde64432      Vardas64432                       6.10                5.80
Pavarde64433      Vardas64433                       3.14                3.20
Pavarde64434      Vardas64434                       8.14                8.20
Pavarde64435      Vardas64435                       7.66                8.20
Pavarde64436      Vardas64436                       7.18                7.20
Pavarde64437      Vardas64437                       3.14                2.80
Pavarde64438      Vardas64438                       4.52                4.80
Pavarde64439      Vardas64439                       5.34                4.80
Pavarde6444       Vardas6444                        5.36                5.20
Pavarde64440      Vardas64440                       2.94                3.00
Pavarde64441      Vardas64441                       8.02                7.60
Pavarde64442      Vardas64442                       3.44                3.40
Pavarde64443      Vardas64443                       3.02                3.00
Pavarde64444      Vardas64444                       7.98                8.20
Pavarde64445      Vardas64445                       3.96                3.80
Pavarde64446      Vardas64446                       5.28                5.20
Pavarde64447      Vardas64447                       3.48                3.40
Pavarde64448      Vardas64448                       5.02                5.00
Pavarde64449      Vardas64449                       5.68                5.60
Pavarde6445       Vardas6445                        7.48                7.40
Pavarde64450      Vardas64450                       3.00                2.80
Pavarde64451      Vardas64451                       5.54                5.60
Pavarde64452      Vardas64452                       6.70                7.00
Pavarde64453      Vardas64453                       3.42                3.60
Pavarde64454      Vardas64454                       8.06                8.60
Pavarde64455      Vardas64455                       6.14                6.00
Pavarde64456      Vardas64456                       8.24                8.20
Pavarde64457      Vardas64457                       6.26                6.20
Pavarde64458      Vardas64458                       7.22                6.80
Pavarde64459      Vardas64459                       4.42                4.40
Pavarde6446       Vardas6446                        4.50                4.40
Pavarde64460      Vardas64460                       3.32                3.20
Pavarde64461      Vardas64461                       3.72                3.60
Pavarde64462      Vardas64462                       4.66                4.60
Pavarde64463      Vardas64463                       4.62                4.40
Pavarde64464      Vardas64464                       7.86                8.20
Pavarde64465      Vardas64465                       7.36                7.00
Pavarde64466      Vardas64466                       2.76                2.80
Pavarde64467      Vardas64467                       3.14                3.40
Pavarde64468      Vardas64468                       2.68                2.60
Pavarde64469      Vardas64469                       4.50                4.60
Pavarde6447       Vardas6447                        4.40                4.40
Pavarde64470      Vardas64470                       5.94                6.00
Pavarde64471      Vardas64471                       5.02                5.00
Pavarde64472      Vardas64472                       2.80                3.00
Pavarde64473      Vardas64473                       3.04                2.80
Pavarde64474      Vardas64474                       3.24                3.60
Pavarde64475      Vardas64475                       5.48                5.40
Pavarde64476      Vardas64476                       5.04                5.00
Pavarde64477      Vardas64477                       5.38                5.20
Pavarde64478      Vardas64478                       2.98                2.80
Pavarde64479      Vardas64479                       8.38                8.40
Pavarde6448       Vardas6448                        2.94                2.80
Pavarde64480      Vardas64480                       5.96                6.00
Pavarde64481      Vardas64481                       3.86                3.60
Pavarde64482      Vardas64482                       2.94                3.00
Pavarde64483      Vardas64483                       7.94                7.60
Pavarde64484      Vardas64484                       5.30                5.20
Pavarde64485      Vardas64485                       3.66                3.40
Pavarde64486      Vardas64486                       4.82                5.00
Pavarde64487      Vardas64487                       7.64                7.60
Pavarde64488      Vardas64488                       3.00                3.40
Pavarde64489      Vardas64489                       3.78                3.60
Pavarde6449       Vardas6449                        5.88                5.60
Pavarde64490      Vardas64490                       5.72                5.40
Pavarde64491      Vardas64491                       6.52                6.60
Pavarde64492      Vardas64492                       7.28                7.40
Pavarde64493      Vardas64493                       6.46                6.60
Pavarde64494      Vardas64494                       5.42                5.60
Pavarde64495      Vardas64495                       6.46                6.60
Pavarde64496      Vardas64496                       6.28                6.20
Pavarde64497      Vardas64497                       8.26                8.40
Pavarde64498      Vardas64498                       5.86                6.00
Pavarde64499      Vardas64499                       4.30                4.60
Pavarde645        Vardas645                         6.78                6.80
Pavarde6450       Vardas6450                        8.50                8.80
Pavarde64500      Vardas64500                       3.08                3.00
Pavarde64501      Vardas64501                       7.34                7.00
Pavarde64502      Vardas64502                       2.56                2.40
Pavarde64503      Vardas64503                       7.82                8.20
Pavarde64504      Vardas64504                       6.04                5.40
Pavarde64505      Vardas64505                       6.14                6.20
Pavarde64506      Vardas64506                       5.04                5.00
Pavarde64507      Vardas64507                       4.92                5.40
Pavarde64508      Vardas64508                       8.38                8.40
Pavarde64509      Vardas64509                       5.26                5.20
Pavarde6451       Vardas6451                        6.20                6.20
Pavarde64510      Vardas64510                       7.40                7.20
Pavarde64511      Vardas64511                       6.56                6.60
Pavarde64512      Vardas64512                       3.38                3.40
Pavarde64513      Vardas64513                       8.44                8.80
Pavarde64514      Vardas64514                       6.52                6.60
Pavarde64515      Vardas64515                       7.00                6.80
Pavarde64516      Vardas64516                       6.74                6.80
Pavarde64517      Vardas64517                       7.86                7.60
Pavarde64518      Vardas64518                       6.52                6.60
Pavarde64519      Vardas64519                       3.54                3.80
Pavarde6452       Vardas6452                        5.70                6.00
Pavarde64520      Vardas64520                       4.82                4.60
Pavarde64521      Vardas64521                       3.78                3.80
Pavarde64522      Vardas64522                       5.52                5.60
Pavarde64523      Vardas64523                       3.70                3.80
Pavarde64524      Vardas64524                       5.48                5.20
Pavarde64525      Vardas64525                       5.86                6.20
Pavarde64526      Vardas64526                       6.14                6.00
Pavarde64527      Vardas64527                       5.20                5.60
Pavarde64528      Vardas64528                       7.94                8.20
Pavarde64529      Vardas64529                       6.90                7.00
Pavarde6453       Vardas6453                        4.44                4.80
Pavarde64530      Vardas64530                       7.42                7.20
Pavarde64531      Vardas64531                       4.10                3.80
Pavarde64532      Vardas64532                       6.30                6.40
Pavarde64533      Vardas64533                       5.68                5.80
Pavarde64534      Vardas64534                       3.92                4.40
Pavarde64535      Vardas64535                       3.20                3.40
Pavarde64536      Vardas64536                       2.92                2.40
Pavarde64537      Vardas64537                       3.94                4.00
Pavarde64538      Vardas64538                       3.82                3.80
Pavarde64539      Vardas64539                       4.00                4.40
Pavarde6454       Vardas6454                        2.94                3.40
Pavarde64540      Vardas64540                       4.10                4.20
Pavarde64541      Vardas64541                       3.86                4.40
Pavarde64542      Vardas64542                       6.42                7.00
Pavarde64543      Vardas64543                       3.68                3.80
Pavarde64544      Vardas64544                       2.66                2.60
Pavarde64545      Vardas64545                       7.90                7.80
Pavarde64546      Vardas64546                       5.64                5.60
Pavarde64547      Vardas64547                       3.62                3.60
Pavarde64548      Vardas64548                       8.30                8.60
Pavarde64549      Vardas64549                       6.14                6.20
Pavarde6455       Vardas6455                        6.38                6.40
Pavarde64550      Vardas64550                       7.46                7.40
Pavarde64551      Vardas64551                       2.42                2.20
Pavarde64552      Vardas64552                       2.86                2.40
Pavarde64553      Vardas64553                       2.56                2.00
Pavarde64554      Vardas64554                       5.24                5.40
Pavarde64555      Vardas64555                       2.82                3.00
Pavarde64556      Vardas64556                       5.00                5.00
Pavarde64557      Vardas64557                       7.56                7.40
Pavarde64558      Vardas64558                       5.84                6.00
Pavarde64559      Vardas64559                       4.08                4.40
Pavarde6456       Vardas6456                        3.68                3.40
Pavarde64560      Vardas64560                       4.50                4.40
Pavarde64561      Vardas64561                       8.04                8.20
Pavarde64562      Vardas64562                       6.36                6.40
Pavarde64563      Vardas64563                       3.14                3.00
Pavarde64564      Vardas64564                       4.26                4.20
Pavarde64565      Vardas64565                       6.44                6.20
Pavarde64566      Vardas64566                       2.58                2.60
Pavarde64567      Vardas64567                       5.30                5.20
Pavarde64568      Vardas64568                       2.40                2.40
Pavarde64569      Vardas64569                       8.48                8.80
Pavarde6457       Vardas6457                        8.44                8.60
Pavarde64570      Vardas64570                       2.58                2.60
Pavarde64571      Vardas64571                       8.24                8.40
Pavarde64572      Vardas64572                       4.96                5.40
Pavarde64573      Vardas64573                       5.48                5.40
Pavarde64574      Vardas64574                       4.24                4.20
Pavarde64575      Vardas64575                       3.34                3.40
Pavarde64576      Vardas64576                       6.26                6.00
Pavarde64577      Vardas64577                       3.56                3.40
Pavarde64578      Vardas64578                       5.60                5.80
Pavarde64579      Vardas64579                       8.12                7.80
Pavarde6458       Vardas6458                        8.46                8.80
Pavarde64580      Vardas64580                       6.20                6.20
Pavarde64581      Vardas64581                       6.08                5.80
Pavarde64582      Vardas64582                       5.80                5.80
Pavarde64583      Vardas64583                       2.96                3.20
Pavarde64584      Vardas64584                       4.56                4.80
Pavarde64585      Vardas64585                       3.54                3.40
Pavarde64586      Vardas64586                       6.78                6.40
Pavarde64587      Vardas64587                       4.96                4.80
Pavarde64588      Vardas64588                       2.66                2.40
Pavarde64589      Vardas64589                       6.70                6.80
Pavarde6459       Vardas6459                        8.30                8.20
Pavarde64590      Vardas64590                       6.16                6.60
Pavarde64591      Vardas64591                       7.80                7.40
Pavarde64592      Vardas64592                       3.02                3.40
Pavarde64593      Vardas64593                       5.44                5.60
Pavarde64594      Vardas64594                       6.56                6.60
Pavarde64595      Vardas64595                       4.84                4.80
Pavarde64596      Vardas64596                       7.34                7.80
Pavarde64597      Vardas64597                       5.66                5.80
Pavarde64598      Vardas64598                       3.86                4.20
Pavarde64599      Vardas64599                       4.30                4.00
Pavarde646        Vardas646                         4.12                4.60
Pavarde6460       Vardas6460                        4.76                4.80
Pavarde64600      Vardas64600                       7.70                8.00
Pavarde64601      Vardas64601                       2.78                3.00
Pavarde64602      Vardas64602                       8.54                8.80
Pavarde64603      Vardas64603                       6.14                5.80
Pavarde64604      Vardas64604                       2.88                3.00
Pavarde64605      Vardas64605                       3.72                4.20
Pavarde64606      Vardas64606                       7.18                7.20
Pavarde64607      Vardas64607                       3.76                4.00
Pavarde64608      Vardas64608                       3.40                3.20
Pavarde64609      Vardas64609                       4.12                4.20
Pavarde6461       Vardas6461                        4.44                4.20
Pavarde64610      Vardas64610                       5.92                5.60
Pavarde64611      Vardas64611                       4.74                4.80
Pavarde64612      Vardas64612                       8.60                8.80
Pavarde64613      Vardas64613                       5.06                5.00
Pavarde64614      Vardas64614                       8.04                8.00
Pavarde64615      Vardas64615                       8.16                8.00
Pavarde64616      Vardas64616                       4.84                4.60
Pavarde64617      Vardas64617                       7.22                7.40
Pavarde64618      Vardas64618                       8.58                8.80
Pavarde64619      Vardas64619                       2.92                3.00
Pavarde6462       Vardas6462                        5.18                5.20
Pavarde64620      Vardas64620                       8.18                8.00
Pavarde64621      Vardas64621                       6.26                6.20
Pavarde64622      Vardas64622                       3.30                3.20
Pavarde64623      Vardas64623                       6.56                6.20
Pavarde64624      Vardas64624                       2.88                3.20
Pavarde64625      Vardas64625                       3.10                3.00
Pavarde64626      Vardas64626                       5.76                5.80
Pavarde64627      Vardas64627                       4.60                4.40
Pavarde64628      Vardas64628                       4.98                5.00
Pavarde64629      Vardas64629                       7.74                7.80
Pavarde6463       Vardas6463                        4.70                5.00
Pavarde64630      Vardas64630                       7.56                7.60
Pavarde64631      Vardas64631                       8.40                9.00
Pavarde64632      Vardas64632                       3.78                3.80
Pavarde64633      Vardas64633                       5.08                5.00
Pavarde64634      Vardas64634                       3.66                4.00
Pavarde64635      Vardas64635                       7.88                7.60
Pavarde64636      Vardas64636                       5.62                5.40
Pavarde64637      Vardas64637                       3.72                3.40
Pavarde64638      Vardas64638                       5.48                5.60
Pavarde64639      Vardas64639                       4.02                3.80
Pavarde6464       Vardas6464                        6.48                6.40
Pavarde64640      Vardas64640                       6.96                7.20
Pavarde64641      Vardas64641                       2.50                2.40
Pavarde64642      Vardas64642                       7.00                7.20
Pavarde64643      Vardas64643                       8.24                8.40
Pavarde64644      Vardas64644                       4.76                4.80
Pavarde64645      Vardas64645                       7.88                7.60
Pavarde64646      Vardas64646                       6.06                6.40
Pavarde64647      Vardas64647                       6.08                6.00
Pavarde64648      Vardas64648                       7.90                8.00
Pavarde64649      Vardas64649                       6.40                6.60
Pavarde6465       Vardas6465                        4.58                4.40
Pavarde64650      Vardas64650                       6.98                6.80
Pavarde64651      Vardas64651                       6.64                6.20
Pavarde64652      Vardas64652                       8.44                8.80
Pavarde64653      Vardas64653                       3.20                2.80
Pavarde64654      Vardas64654                       7.64                7.60
Pavarde64655      Vardas64655                       2.72                2.60
Pavarde64656      Vardas64656                       7.48                7.80
Pavarde64657      Vardas64657                       3.88                4.20
Pavarde64658      Vardas64658                       7.68                8.00
Pavarde64659      Vardas64659                       4.74                4.60
Pavarde6466       Vardas6466                        2.88                2.80
Pavarde64660      Vardas64660                       5.58                5.40
Pavarde64661      Vardas64661                       6.44                6.20
Pavarde64662      Vardas64662                       6.60                6.60
Pavarde64663      Vardas64663                       7.42                7.40
Pavarde64664      Vardas64664                       4.46                4.60
Pavarde64665      Vardas64665                       8.34                8.80
Pavarde64666      Vardas64666                       5.06                5.00
Pavarde64667      Vardas64667                       6.50                6.60
Pavarde64668      Vardas64668                       3.60                3.20
Pavarde64669      Vardas64669                       3.58                3.80
Pavarde6467       Vardas6467                        7.88                7.60
Pavarde64670      Vardas64670                       5.18                5.20
Pavarde64671      Vardas64671                       6.10                6.20
Pavarde64672      Vardas64672                       4.22                4.20
Pavarde64673      Vardas64673                       6.62                6.60
Pavarde64674      Vardas64674                       6.38                6.60
Pavarde64675      Vardas64675                       8.10                8.00
Pavarde64676      Vardas64676                       8.16                8.00
Pavarde64677      Vardas64677                       5.22                4.80
Pavarde64678      Vardas64678                       4.48                4.40
Pavarde64679      Vardas64679                       4.14                4.20
Pavarde6468       Vardas6468                        4.20                4.00
Pavarde64680      Vardas64680                       6.42                6.20
Pavarde64681      Vardas64681                       4.38                4.60
Pavarde64682      Vardas64682                       6.78                7.00
Pavarde64683      Vardas64683                       4.06                4.40
Pavarde64684      Vardas64684                       5.86                5.60
Pavarde64685      Vardas64685                       3.42                3.40
Pavarde64686      Vardas64686                       3.30                3.20
